,pesquisa,titulo,link,comentario,comentario_ingles
0,air fryer,"Fritadeira forno 3 em 1 Oster 127V - OFRT780, OFRT780-127V",https://www.amazon.com.br/dp/B0B726S9S3,Muito bom gostei d ++,very good i liked it
1,air fryer,Fritadeira de Ar Mallory Grand Smart Preto - 220V,https://www.amazon.com.br/dp/B07BSW1V7F,Atendeu a minha expequitativa,he attended my expequitativa
2,air fryer,"Fritadeira Eletrica sem oleo Electrolux Airfryer 3,2L digital 9 receitas pre-programadas cesto removivel 1400W EAF20 127v",https://www.amazon.com.br/dp/B09DLCTPWR,Muito bom!,very nice
3,air fryer,"Fritadeira Sem Óleo Mondial, New Pratic - 3,5L, 110V, Preto, 1500W - AF-31",https://www.amazon.com.br/dp/B07TZXSRBD,Produto maravilhoso!,wonderful product
4,air fryer,Fritadeira Air Fryer Philco Gourmet 4l 1500w Preto Pfr15pg - 220v,https://www.amazon.com.br/dp/B09S1HQYKJ,Produto excelente.,excellent product
5,air fryer,"Fritadeira Air Fryer Britnia Oven 12 Litros 1800w - 127V, Modelo: BFR2300P",https://www.amazon.com.br/dp/B0B98V3VJL,Mudou a nossa firma de assar os alimentos!,changed our food baking firm
6,air fryer,"Fritadeira Eletrica sem oleo Electrolux Airfryer 3,2L digital 9 receitas pre-programadas cesto removivel 1400W EAF20 127v",https://www.amazon.com.br/dp/B09DLCTPWR,"Perfeito, um dos melhores que adquidi",perfect one of the best i have acquired
7,air fryer,Fritadeira Air Fryer Philco Gourmet 4l 1500w Preto Pfr15pg - 220v,https://www.amazon.com.br/dp/B09S1HQYKJ,o produto veio rapidamente e de muito boa qualidade. Excelente compra.,product came quickly and of very good quality excellent purchase
8,air fryer,"Fritadeira Elétrica sem óleo Air Fryer 3,5L 1500W 220V Multi - CE199",https://www.amazon.com.br/dp/B0BKD8V71Q,"Produto de uma excelente qualidade, desing moderno e funciona realmente como promete.",product of an excellent quality modern design and really works as it promises
9,air fryer,"Fritadeira Sem Óleo Cadence Super Light Fryer Colors,3,8L, Preta, 220V, FRT555",https://www.amazon.com.br/dp/B09LP1WFBM,"Veio exatamente como na imagem, grande, silenciosa na medica certa e chegou bem antes do previsto.",it came exactly as in the image large silent in the right doctor and arrived well ahead of schedule
10,air fryer,Fritadeira Sem Óleo Oster 127V - OFRT520,https://www.amazon.com.br/dp/B0B72QZXCC,"Gostei, mas acho que poderia ter aquele click que solta da parte da Cuba para lavagem!",i liked it but i think i could have that click that comes out of cuba for washing
11,air fryer,"Fritadeira Air Fry Oven BFR2100P, Britania, 127v",https://www.amazon.com.br/dp/B08R91HYY2,"Muito boa, adorei a compra na chegou antes do prazo.",very good i loved the purchase when it arrived before the deadline
12,aparelho de barbear eletrico,"Barbeador, Shave Bba02az, Azul Escuro, Bivolt, Britânia",https://www.amazon.com.br/dp/B076HYCY6M,"Produto bom,chegou no prazo",good productarrived on time
