,pesquisa,titulo,link,comentario,comentario_ingles
0,air fryer,Air Fryer Philco Gourmet Black Prf15pg 4l 127v 1500w,https://produto.mercadolivre.com.br/MLB-2970487092-air-fryer-philco-gourmet-black-prf15pg-4l-127v-1500w-_JM#position=51&search_layout=stack&type=item&tracking_id=aa906bc9-0c18-41ca-941a-03deb95dfbf4,Fritadeira top.,top fryer
1,air fryer,Air Fryer Philco Gourmet Black Prf15pg 4l 127v 1500w,https://produto.mercadolivre.com.br/MLB-2970487092-air-fryer-philco-gourmet-black-prf15pg-4l-127v-1500w-_JM#position=51&search_layout=stack&type=item&tracking_id=aa906bc9-0c18-41ca-941a-03deb95dfbf4,Muito boa !.,thanks
2,air fryer,Air Fryer Philco Gourmet Black Prf15pg 4l 127v 1500w,https://produto.mercadolivre.com.br/MLB-2970487092-air-fryer-philco-gourmet-black-prf15pg-4l-127v-1500w-_JM#position=51&search_layout=stack&type=item&tracking_id=aa906bc9-0c18-41ca-941a-03deb95dfbf4,Excelente!!! tudo como eu imaginava.,excellent everything as i imagined
3,air fryer,Air Fryer Philco Gourmet Black Prf15pg 4l 127v 1500w,https://produto.mercadolivre.com.br/MLB-2970487092-air-fryer-philco-gourmet-black-prf15pg-4l-127v-1500w-_JM#position=51&search_layout=stack&type=item&tracking_id=aa906bc9-0c18-41ca-941a-03deb95dfbf4,"Excelente produto.
Bonito e funcional.
Recomendo.","excellent product
beautiful and functional
recommended"
4,air fryer,Air Fryer Philco Gourmet Black Prf15pg 4l 127v 1500w,https://produto.mercadolivre.com.br/MLB-2970487092-air-fryer-philco-gourmet-black-prf15pg-4l-127v-1500w-_JM#position=51&search_layout=stack&type=item&tracking_id=aa906bc9-0c18-41ca-941a-03deb95dfbf4,"Muito bom, supor recomendo!!!.",very good i recommend it
5,air fryer,Air Fryer Philco Gourmet Black Prf15pg 4l 127v 1500w,https://produto.mercadolivre.com.br/MLB-2970487092-air-fryer-philco-gourmet-black-prf15pg-4l-127v-1500w-_JM#position=51&search_layout=stack&type=item&tracking_id=aa906bc9-0c18-41ca-941a-03deb95dfbf4,"Muito bom, recomendo a todos, pode comprar sem medo.",very good i recommend it to everyone you can buy it without fear
6,air fryer,Air Fryer Philco Gourmet Black Prf15pg 4l 127v 1500w,https://produto.mercadolivre.com.br/MLB-2970487092-air-fryer-philco-gourmet-black-prf15pg-4l-127v-1500w-_JM#position=51&search_layout=stack&type=item&tracking_id=aa906bc9-0c18-41ca-941a-03deb95dfbf4,Simplesmente fascinada com esse aparelho.,im just fascinated by this device
7,air fryer,Air Fryer Philco Gourmet Black Prf15pg 4l 127v 1500w,https://produto.mercadolivre.com.br/MLB-2970487092-air-fryer-philco-gourmet-black-prf15pg-4l-127v-1500w-_JM#position=51&search_layout=stack&type=item&tracking_id=aa906bc9-0c18-41ca-941a-03deb95dfbf4,Muito boa vale a pena comprar.,very good is worth buying
8,air fryer,Air Fryer Philco Gourmet Black Prf15pg 4l 127v 1500w,https://produto.mercadolivre.com.br/MLB-2970487092-air-fryer-philco-gourmet-black-prf15pg-4l-127v-1500w-_JM#position=51&search_layout=stack&type=item&tracking_id=aa906bc9-0c18-41ca-941a-03deb95dfbf4,Muito bom recomendo a todos.,really good would recommend to all
9,air fryer,Air Fryer Philco Gourmet Black Prf15pg 4l 127v 1500w,https://produto.mercadolivre.com.br/MLB-2970487092-air-fryer-philco-gourmet-black-prf15pg-4l-127v-1500w-_JM#position=51&search_layout=stack&type=item&tracking_id=aa906bc9-0c18-41ca-941a-03deb95dfbf4,Muito bom muito bom testando ainda.,very good very good testing yet
10,air fryer,Air Fryer Philco Gourmet Black Prf15pg 4l 127v 1500w,https://produto.mercadolivre.com.br/MLB-2970487092-air-fryer-philco-gourmet-black-prf15pg-4l-127v-1500w-_JM#position=51&search_layout=stack&type=item&tracking_id=aa906bc9-0c18-41ca-941a-03deb95dfbf4,Produto maravilhoso! bonito e de qualidade.,wonderful product beautiful and quality
11,aparelho de barbear eletrico,Aparelho De Barbear Eletrico A Prova D'agua Usb Profissional,https://produto.mercadolivre.com.br/MLB-1953810614-aparelho-de-barbear-eletrico-a-prova-dagua-usb-profissional-_JM#position=34&search_layout=grid&type=item&tracking_id=7b820008-037e-4307-a40e-9395820a9b16,"Tudo ok, produto 100% conforme anunciado.",all right 100 product as advertised
12,aparelho de barbear eletrico,Aparelho Elétrico Cabelo E Barba Pronta Entrega Promoção,https://produto.mercadolivre.com.br/MLB-2166487792-aparelho-eletrico-cabelo-e-barba-pronta-entrega-promoco-_JM#position=21&search_layout=grid&type=item&tracking_id=7b820008-037e-4307-a40e-9395820a9b16,"Achei excelente para o cabelo e barba , bom custo beneficio.",i found it excellent for hair and beard  good value for money
13,aparelho de barbear eletrico,Aparelho De Barbear Depilador Elétrico 3 Em 1 - Recarregável,https://produto.mercadolivre.com.br/MLB-2163943292-aparelho-de-barbear-depilador-eletrico-3-em-1-recarregavel-_JM#position=22&search_layout=grid&type=item&tracking_id=7b820008-037e-4307-a40e-9395820a9b16,Melhor compra que fiz.,best purchase i ever made
